"","candidate","combo","gender","trimmed","inc","openseat","ss_party"
"27","Combs, Gwen","Gwen Combs AR",1,"I am an advocate for choice in healthcare. As a woman, I understand the specific health needs of women and I am an advocate for choice. Decisions about a women’s reproductive care, including abortion, should be between a women, her family, and her doctor. Quality healthcare is a human right. Investing in healthcare creates healthy and happy citizens that will propel our society forward. Once in Congress, health care will be my top priority. I will fight to ensure that more people are covered, expenses are lowered, and coverage is equitable and accessible. Medicare, Medicaid, and Medicaid Expansion must be preserved and mental and behavioral health coverage should be accessible and affordable.

All of us deserve financial security in the form of living wages tied to inflation, a strong economy, and the preservation of Medicare and Social Security, also tied to inflation.   I believe in economic fairness for all, and aim to secure it by focusing on minimum wage, women’s rights in the workplace, benefits for veterans, and Social Security. Even in Arkansas, where the minimum wage is above the national rate, a person must work 54 hours a week to afford a two-bedroom apartment. We must raise our minimum wage to $15 an hour, so that all workers are guaranteed to live with dignity. This applies to immigrants as well, so they have the representation and pay that their hard work warrants. We must ensure that businesses provide women with equal pay for equal work by 2025, through the use of tax incentives for and tougher enforcement where standards already exist. Women deserve paid family and sick leave, and I will work to require employers to provide them with both; they also deserve high-quality, affordable healthcare, and my goal is to make it accessible for them. 

Our country has come so far in our fight for equality, and it is our duty to carry the torch for everyone still struggling for their rights.   The principle of equality for all is vital to our democracy and identity as Americans. Knowing this, I will make it my goal to protect the rights that every one of us holds so dearly. Every American, regardless of sexual orientation or gender identity, deserves protection from harassment, violence, and discrimination--be it in the workplace, or with regard to housing or healthcare. The fight for these protections must be a national one, and I pledge to help lead it. I vow to pass a new equal rights law which will guarantee hiring equity as well as equal pay for equal work, and put an end to all disparities in employment, policing, housing, sentencing, and compensation based on race, religion, gender, or sexuality by 2025. I will also expand legal protections for women and people of color against discrimination, harassment, and abuse, and ensure that they are properly enforced. Furthermore, I aim to secure equality in all aspects of reproductive healthcare, including abortion; to make this possible, I will commit to repealing the Hyde amendment, so that federal funds can be directed toward abortion.",0,0,2
"28","Spencer, Paul","Paul Spencer AR",0,"From the first day that I declared my candidacy for Arkansas’s Second Congressional District seat, I also stated my pro-life position which is quite rare among Democratic politicians and generated quite a bit of press early on. Since this is such an unusual position for a Democrat, I feel that it is necessary to elaborate on my position with the hopes of fostering dialogue on all sides of the political spectrum in a respectful manner. Many in the pro-life community advocate for a complete ban on abortion in the hopes of ending all abortion. I respectfully submit several problems that I see with this position.  If one were to overturn Roe, we would simply return to an era of widespread illegal abortion. Individuals could still receive abortions from sympathetic medical professionals, travel to other jurisdictions that still provide abortions, or receive dangerous, unsafe, or not-regulated abortions. Regardless of the legal standing of the means--the action and its effect would continue. As in many other situations, simply outlawing particular actions has not made them effectively cease in society.   If Roe were to be overturned, abortion would be classified among crimes like murder, theft, assault, and rape, which are everyday occurrences in the United States, although they are illegal. These latter offenses are theoretically easily policed and the perpetrators sanctioned. Furthermore, the policing of such actions is vigorously supported by our society. This would not be the case with the policing of illegal abortions in a theoretical post-Roe world. Given the normalization of abortion within society today, a widespread outcry for and the vigorous prosecution of illegal abortions would not be present. If one believes that abortion is a grave tragedy, one should be as troubled by abortions that would occur illegally as well. A more comprehensive solution is to work for a just society which would diminish the underlying deprivations which give rise to many abortions. As we know, the abortion debate is probably the most divisive and polarizing political issue of our time.  As in virtually every other area of law and civil society, one side must accept the government’s, vis-à-vis the people’s, right to regulate a practice that the other side finds limitlessly unacceptable in every situation. The reality is that the state makes allowances for abortion in varying circumstances (life of the mother, rape, incest, viability). These exceptions may never be acceptable for some.  Conversely, others want unrestricted abortion allowed at every stage. Established law has already legislated restrictions on abortion, which cannot be overlooked in country that is governed by the rule of law. As in so many other issues in society, the law, in balancing the different perceptions of rights for different groups leaves no one side feeling completely vindicated. But as a nation that believes the rule of law is the bedrock of a civil society, ultimately both sides must reconcile what each deems as their most desired outcome with what the law prescribes. Although I am morally opposed to the practice of abortion because I believe an unborn child is a human life, I recognize as legitimate this compromise that decades of law have established on the issue. I support policy such as the Pregnant Women Support Act which was passed along with the Affordable Care Act which gives women in crisis pregnancies support and other options besides abortion. I support a paid-maternity leave, which would allow mothers to spend time with their child in the vital, early stages of life. I also support Medicare For All, which would provide healthcare to all persons regardless of their income, gender, or background. I also support equal pay for equal work, which should be requirement for all employers. I support the upholding of the Hyde Amendment which has prohibited the use of federal funds for abortion for the last four decades. Conversely, I do not support the Federal defunding of Planned Parenthood since our society does not have a comprehensive and universally accessible health system that serves all people.  Planned Parenthood provides many services such as family planning and cancer screenings to which many women would otherwise have no access. None of the federal funding Planned Parenthood receives can legally be spent on abortion services. My belief in the inherent dignity and sacredness of human life compels me to not only seek to protect life in its most vulnerable stage, but to also fight to uphold dignified living circumstances at every stage. If we are truly committed to protecting life, we must refuse to settle for a healthcare system in which tens of thousands of Americans die each year because of lack of access to healthcare in the wealthiest country in the world. A consistent pro-life view rejects the philosophy that human labor is a commodity to be traded on the free market with wages as low as the market will allow. Our pro-life worldview should compel us to welcome the immigrant and the refugee that are fleeing unlivable situations to make a better life for their family.   We must be as troubled by gun violence in our communities and unjust wars overseas as we are by abortion. We must recognize the view of Pope Francis that economies of exclusion also kill. We must reject the perverse reordering of the societal hierarchy that sees “corporate persons” as having the same Constitutional rights as actual human persons that are created in the image and likeness of God. Pro-life voters deserve other choices than political candidates whose only pro-life position is the banning of abortion. We must hold these politicians accountable at election time when they support legislation that denies their constituent’s right to live a dignified life. Conversely, those of us who advocate for social justice must be aware that “quality of life issues” mean nothing to a person that has been deprived of life in the womb. For both sides, a thoughtful and solicitous balance must be struck that encompasses the bounds of theology, responsible law, responsible social citizenship, and gentle humanity’s decency as we strive to compassionately serve the needs and honor the dignity of human life in all its forms.",0,0,2
"29","Tucker, Clarke","Clarke Tucker AR",0,"All Americans, no matter their background, must be treated equally under the law. Every Arkansan has a stake in our future and each deserves the fullest opportunity to contribute to and share in our collective prosperity. This is a fundamental value that I carry with me every day. Equal pay for equal work. All Americans should be paid equally and treated fairly, no matter their gender or race.",0,0,2
"30","Mahony, Joshua","Joshua Mahony AR",0,NA,0,0,0
"31","Shamel, Hayden","Hayden Shamel AR",1,NA,0,0,0
"32","Rao, Saira","Saira Rao CO",1,NA,0,0,1
"33","Williams, Mark","Mark Williams CO",0,"I commit to supporting legislation that levels the playing field and ensures fairness, equality, respect, and opportunity for women, minorities, the LGBTQ community, and immigrants. It’s critical to ensure every woman has control over her health and reproductive decisions and access to quality healthcare. I will fight the Trump administration’s attacks on Title X, which provides low-income women (and some men) access to family planning services. The endless appetite to attack Planned Parenthood must end. Equal pay must also be ensured for women. It is a damning indictment of our political enterprise that equal pay for women is an issue in 2018. Both my daughters should expect to earn the same amount as any man, but today they’ll get 83 cents for every $1. This is utterly wrong and must change. I will fight tirelessly in Congress to pass equitable pay legislation.",0,1,2
"34","Neguse, Joe","Joe Neguse CO",0,"The right to not be discriminated against because of who you are, where you’re from, or whom you love, which means protecting women’s reproductive rights, including supporting the EACH Woman Act of 2017 that protects a woman’s right to choose, fighting for immigration reform and a clean Dream Act, and championing legislation to protect all Americans from discrimination such as the Equality Act",0,1,2
"35","Menconi, Arn","Arn Menconi CO",0,"Equal pay for women",0,0,2
"36","Hanlon, Karl","Karl Hanlon CO",0,"With the revelations of October and November 2017, the #metoo hashtag has shone the spotlight how far we still need to go as a society. The question of women’s rights is also a matter of human rights. We cannot equivocate on the issue. Women should not have to face the fear of sexual assault, sexual harassment, domestic violence, or policies aimed at taking away fundamental rights to autonomy over their bodies. On most social issues, I believe firmly that a minimum of governmental intrusion into our lives is the appropriate policy; the government’s role is not to dictate personal choices. However, when fully half of our population is at risk, we must take steps to protect our citizens. That will take the form of enforcing the laws that exist, and looking at whether requirements like workplace training are having an impact. This is also a failure of leadership at the highest levels of our government. The Congress, the Executive Branch, and the Judicial Branch all need to step up, take a hard look at our own behavior and culture, and take real steps to change it. Above all, we must call out those in our lives who fail to meet the standards of behavior every human being must recognize.",0,0,2
"37","Bush, Diane Mitsch","Diane Mitsch Bush CO",1,"I have stood up for women’s rights all my adult life, first as an activist, then as a policy researcher and tenured professor, then as an elected public servant. I know what life was like before Roe v. Wade and we can never go back. Protecting women’s rights and reproductive health is the foundation of economic independence for women. Oppose all efforts to reduce or hamstring Title X family planning funding Oppose all efforts to reduce Medicaid and restrict family planning provisions in Medicaid Stand up completely for Roe v. Wade and oppose ANY efforts to weaken or overturn Support and co-sponsor gun safety bills because gun violence in domestic situations is a major cause of death and injury to women Fight any attempt to put “personhood” on the ballot Make birth control more accessible Demand women receive equal pay for equal work Fund paid parental leave and defend pregnancy protections for working women Support and defend the 1994 Violence Against Women Act. Fight for the Equal Rights Amendment Co-sponsor HR 4396 ME TOO Act. Support Violence against Women Veterans Act. All 5 years that I served in the State House I received 100% report cards from all the women’s rights groups",0,0,2
"38","McCormick, Karen","Karen McCormick CO",1,"I will fight to protect a woman’s right to choose. All women should have the right to make healthcare decisions that are right for their families without any kind of government interference, and in Congress I will fight to protect the federal funding that many women’s health centers depend on. It is unacceptable that America is the only developed nation in the world without guaranteed parental leave programs, and I will work with the growing bipartisan coalition of Representatives who support paid family leave programs for new parents.",0,0,0
"39","Kohne, Chase","Chase Kohne CO",0,NA,0,0,0
"40","Tillemann, Levi","Levi Tillemann CO",0,NA,0,0,2
"41","Crow, Jason","Jason Crow CO",0,"Equal pay is not only a women’s issue – it is also a moral, family, and economic issue. As of 2015, nearly 45 percent of women mothers were the breadwinners for their families, yet they are still making .84 cents on the dollar in Colorado. In our country it is a moral issue to treat everyone equally for the work they do. Equal pay will also help grow our economy and support families by making home ownership, education, advanced training, and retirement more accessible for more Coloradans. Mike Coffman voted against equal pay for women. In Congress I will always fight to ensure that women are paid equally for the work they do. Colorado families are working hard to make ends meet, a task made harder when a family welcomes a new child or someone falls sick and paid leave is not available. We cannot support parents, promote early childhood development, or care for our aging generations without policies that make it possible for American workers to care for their families without fear of losing pay or their jobs. I believe it is time to move our economy into the 21st century. That includes modern family leave policies. I will fight to ensure that all workers are able to care for their families without enduring financial hardship – whether they need sick time, parental leave, or time to care for family members.   Existing penalties are woefully inadequate to punish those who abused their power and violated the trust of their subordinates and the American people.We must hold our elected leaders to a higher standard of conduct. When ethics investigations find that members of Congress have committed sexual harassment or assault – or they resign to avoid the consequences of such an investigation – they should lose their congressional pension. I will fight to protect a woman’s right to choose. Women should have the right to make health care decisions that are right for them and their families. It is truly shameful that we still have to defend a woman’s right to make her own health care choices. Stripping women’s health care funding from the federal budget and removing protections for women’s health care from our laws will hurt families across the country and in Colorado. In Congress, I will protect a woman’s right to choose, while simultaneously working to continue funding critical resources like Planned Parenthood. I will also fight to ensure that protections for maternity care are not removed from our health care laws and that families are able to take paid sick leave. I look at my daughter and cannot stand to think that she will have to wage this same fight when she is grown. But you do not have to have a daughter to support women and families across the country.",0,0,2
"42","Hayes, Jahana","Jahana Hayes CT",1,"I also believe that women and men should receive equal pay for equal work. I am committed to working to close the gender pay gap and addressing disparities that make the gap even larger for black and Latina women.",0,1,2
"43","Glassman, Mary","Mary Glassman CT",1,"I will also support legislation that protects victims of abuse, usually women, by strengthening the existing laws that prohibit abusers with temporary restraining orders from purchasing weapons. It is time to take power away from the gun lobby and return to an era of common sense gun laws that protect all of us.

 I will be a strong advocate for women’s health care in Congress.  In my work at Connecticut Voices for Children, I saw the direct correlation between funding for prenatal care and good outcomes for mothers and babies. I am a firm believer in a women’s reproductive freedom, especially this year when we are seeing an unprecedented number of attacks on this right. A woman must have control over her reproductive choices and the right to make private decisions with her health care provider. ",0,1,2
"44","Ehr, Phil","Phil Ehr FL",0,"The sanctity of life and the exercise of free will are both American values. These values are also enshrined in Phil's Christian faith. Phil respects current law that attempts to strike a moral balance considering the viability of the fetus and the health of the mother. Although our understanding of viability and health have changed over time, Phil believes the hard choices should remain with the mother and her doctor. He supports the availability of reproductive health services for all women. He will defend the Affordable Care Act provision of no-cost contraception and preventative services.",0,0,0
"45","Zimmerman, Jennifer","Jennifer Zimmerman FL",1,NA,0,0,0
"46","Peters, Brandon","Brandon Peters FL",0,NA,0,0,0
"47","Rackleff, Bob","Bob Rackleff FL",0,NA,0,0,0
"48","Hinson, Yvonne","Yvonne Hinson FL",1,NA,0,0,0
"49","Gosai, Dushyant","Dushyant Gosai FL",0,NA,0,0,0
"50","Wells, Tom","Tom Wells FL",0,NA,0,0,0
"51","Selmont, Ges","Ges Selmont FL",0,"The fact that this is even an issue in 2018 justifies the need to pass the Equal Rights Amendment. Ges fully supports reproductive rights, freedom from harassment in the workplace, equal pay and opportunity for all women.  As your member of Congress, he will fight like hell to give women the same opportunities enjoyed by the men they share homes, conference rooms and schools with each and every day.  Gender should not determine one’s future.  Ges believes women should expect, and have recourse if they don’t find, a workplace that is free from harassment.   And Ges is a proud supporter of the #MeToo movement. Low income, hourly paid women with children need protection and stability in their workplaces and he fully supports a woman’s right to choose, and Planned Parenthood provides critical women’s healthcare and counseling.  He will fight to protect their sources of funding. In Congress, he will listen, and fight, to make the world a more fair and just place for women and their children.",0,0,0
